ISO3_Code,Country,Name of anti-corruption/bribery authority/institution,Year of establishment,Link
ALB,Albania,Specialized Courts Against Corruption and Organized Crime,2016,https://gjykata.gov.al/gjykata-e-posacme-e-apelit-per-korrupsionin-dhe-krimin-e-organizuar/
ALB,Albania,Special Prosecution Office Against Corruption and Organized Crime (SPAK),2016,https://spak.gov.al/
ALB,Albania,High Inspectorate of Declaration and Audit of Assets and Conflicts of Interest,2003,
ALB,Albania,Agency for the Administration of Seized and Confiscated Assets,2004,https://aapsk.gov.al/en/
ALB,Albania,Anti-Corruption Task Force,2005,https://www.drejtesia.gov.al/task-forca-antikorrupsion/
ALB,Albania,The People´s Advocate (Ombudsman),1999,https://www.avokatipopullit.gov.al/sq/
ALB,Albania,State Audit Commission,1925,https://www.klsh.org.al/
ALB,Albania,Ministry of Finance,1912,https://financa.gov.al/en/
ALB,Albania,Public Procurement Agency (PPA),2006,https://www.app.gov.al/home/
ALB,Albania,National Anti-Corruption Coordinator (NAKO),2018,https://www.drejtesia.gov.al/wp-content/uploads/2022/12/Fjalori_Antikorrupsion_EN.pdf
ARG,Argentina,National Integrity and Transparency Committee,2021,https://www.argentina.gob.ar/desregulacion/transformacion-del-estado-y-funcion-publica/mesa-nacional-de-integridad-y
ARG,Argentina,The Anti-Corruption Office,1999,https://www.argentina.gob.ar/anticorrupcion
ARG,Argentina,The National Procurement Office,,https://www.argentina.gob.ar/oficina-nacional-de-contrataciones
ARG,Argentina,The Financial Information Unit,2000,https://www.argentina.gob.ar/uif
ARG,Argentina,Investigations Unit,1962,https://www.mpf.gob.ar/pia/
ARG,Argentina,PROCELAC ,2012,https://www.mpf.gob.ar/procelac/
ARG,Argentina,Auditor General,1992,https://www.agn.gob.ar
ARG,Argentina,Sindicatura General de la Nación,1992,https://www.argentina.gob.ar/sigen
ARG,Argentina,Agency for Public Information,2016,https://www.argentina.gob.ar/aaip
ARG,Argentina,Financial Public Ministry,1994,https://www.mpf.gob.ar
ARM,Armenia,The Police of Armenia (particularly general for combating organized crime),1918,https://www.police.am/en
ARM,Armenia,Prosecutor-General´s Office,1919,https://www.prosecutor.am/en
ARM,Armenia,Anti-Corruption Policy Council ,2019,https://www.gov.am/en/anti-corruption-council/
ARM,Armenia,Department of Anti-Corruption Policy Development and Monitoring (under Ministry of Justice),2019,https://www.moj.am/en/structures/view/structure/4
ARM,Armenia,Corruption Prevention Commission (CPC),2019,https://cpcarmenia.am/en/
ARM,Armenia,Anti-Corruption Committee (ACC),2021,https://www.anticorruption.am/en/
ARM,Armenia,Financial Monitoring Centre (within Central Bank of Armenia),2005,https://fiu-cis.org/en/uchastniki-pfr/pfr-respubliki-armeniya
ARM,Armenia,Audit Chamber of the Republic of Armenia (ARMSAI),1996,https://armsai.am/en
ARM,Armenia,Anti-Corruption Chamber of the Cassation Court,2019,https://cassationcourt.am/en/construction/anti-corruption-chamber
ARM,Armenia,State Revenue Committee,1991,https://www.src.am/en/getMenusContents/2020
AUS,Australia,National Anti-Corruption Commission (NACC),2022,https://www.nacc.gov.au/reporting-and-investigating-corruption/what-investigate
AUS,Australia,Australian Transaction Reports and Analysis Centre (AUSTRAC),1989,https://www.austrac.gov.au
AUS,Australia,Australian Security and Investment Commission (ASIC),1991,https://www.asic.gov.au
AUS,Australia,Australian Federal Police,1979,https://www.afp.gov.au/crimes/fraud-and-corruption
AUS,Australia,Independent Commission Against Corruption (ICAC),1988,https://www.icac.nsw.gov.au
AUS,Australia,Independent Commission Against Corruption (ICAC) (New South Wales),2012,https://www.icac.sa.gov.au
AUS,Australia,Independent Broad-based Anti-Corruption Commission (IBAC) (Victoria),2012,https://www.ibac.vic.gov.au
AUS,Australia,Crime and Corruption Commission (CCC) (Queensland),2014,https://www.ccc.qld.gov.au
AUS,Australia,Corruption and Crime Commission (CCC) (Western Australia),2004,https://www.ccc.wa.gov.au
AUS,Australia,Tasmanian Integrity Commission (Tasmania),2010,https://www.integrity.tas.gov.au
AUS,Australia,Independent Commissioner Against Corruption (ICAC) (Nothern Territory),2018,https://icac.nt.gov.au
AUS,Australia,ACT Integrity Commission,2019,https://www.integrity.act.gov.au
AUT,Austria,Federal Ministry of justice (BMJ),,https://www.bmj.gv.at
AUT,Austria,The Federal Ministry of Finance (BMF),1848,https://www.bmf.gv.at/en.html
AUT,Austria,Federal Bureau of Anti-Corruption (BAK),2010,https://www.bak.gv.at/en/
AUT,Austria,Central Office for Prosecuting Economic Crimes and Corruption (WKStA),2009,https://www.justiz.gv.at/wksta/wirtschafts-und-korruptionsstaatsanwaltschaft.312.de.html
AUT,Austria,Austrian Court of Audit ,,https://www.rechnungshof.gv.at/rh/home/wer-wir-sind/RechnungshofOesterreich/Austrian_Court_of_Audit.html
AUT,Austria,Austrian Ombudsman Board ,1977,https://volksanwaltschaft.gv.at/en/
AUT,Austria,The Financial Market Authority,2002,https://www.fma.gv.at/en/
AUT,Austria,The Federal Intelligence Unit (Geldwäschemeldestelle) ,2003,https://www.bundeskriminalamt.at/en
AUT,Austria,The Directorate National Security and Intelligence Service (DNS),2021,https://www.dsn.gv.at
AUT,Austria,The Oesterreichische Nationalbank(OeNB),1816,https://www.oenb.at/en/
AUT,Austria,Federal competition authority,2002,https://www.bwb.gv.at/en
BGD,Bangladesh,Anti-Corruption Commission (ACC),2004,https://acc.org.bd/
BGD,Bangladesh,Bangladesh Financial Intelligence Unit (BFIU),2002,https://www.bfiu.org.bd/
BGD,Bangladesh,Ministry of Public Administration,1971,https://mopa.gov.bd/
BGD,Bangladesh,Bangladesh Public Procurement Authority (BPPA) (under Ministry of Planning),2023,https://cptu.gov.bd/
BGD,Bangladesh,National Board of Revenue,1972,https://nbr.gov.bd/
BGD,Bangladesh,"Ministry of Law, Justice and Parliamentary Affairs",1972,https://lawjusticediv.gov.bd/
BGD,Bangladesh,Ministry of Finance ,1971,https://mof.gov.bd/
BGD,Bangladesh,Office of the Comptroller and Auditor General (OCAG) - Supreme Audit Institution of Bangladesh,1973,https://www.cag.org.bd/
BGD,Bangladesh,Bangladesh Election Commission,1956,https://www.ecs.gov.bd//?lang=en
BGD,Bangladesh,Information Commission,2009,https://infocom.gov.bd/
BGD,Bangladesh,Bangladesh Securities and Exchange Commission (BSEC) ,1993,https://sec.gov.bd/
BGD,Bangladesh,Bangladesh Public Service Commission (BPSC),1977,https://bpsc.gov.bd/
BEL,Belgium,Directorate General for Recruitment and Development in the Federal Public Service for Policy and Support,,https://diplomatie.belgium.be/en
BEL,Belgium,Financial Information Processing Unit (CTIF-CFI),2017,https://www.ctif-cfi.be/index.php/en/belgian-system/ctif-cfi
BEL,Belgium,Central Office for Seizure and Confiscation (OCSC),2003,https://www.om-mp.be/fr/politique-gestion/ocsc?utm_source=chatgpt.com
BEL,Belgium,Court of Audit,1984,https://www.ccrek.be/en?utm_source=chatgpt.com
BEL,Belgium,Federal public Service and Support,2017,https://bosa.belgium.be/en
BEL,Belgium,Federal police,,https://www.police.be/5998/en
BEL,Belgium,Federal Ombudsman,1995,https://www.federaalombudsman.be/en
BEL,Belgium,Point of Contract For Fair Competition,,https://www.meldpuntsocialefraude.belgie.be/en/
BRA,Brazil,Controladoria-Geral da União (CGU),2001,https://www.gov.br/cgu/pt-br
