ISO3_Code,Country,"Is Complain handling mechanism / Citizen Reporting / Grievance redressal mechanism / Corruption reporting available (Yes, No)",Brief Description,Link
ALB,Albania,Yes,Ombudsman,https://www.avokatipopullit.gov.al/sq/complaint/create
ALB,Albania,Yes,High Inspector of Justice,https://ild.al/en/2020/09/30/hij-presents-the-online-complaints-system/
ALB,Albania,Yes,Commissioner´s Office,https://idp.al/en/complaint-form-on-the-right-to-information/
ALB,Albania,Yes,Customs Administration,https://dogana.gov.al/english/c/171/224/report-corruption?
ARG,Argentina,Yes,Ministry of Justice and Human Rights,https://denuncias.anticorrupcion.gob.ar
ARG,Argentina,Yes,Auditor General,https://www.agn.gob.ar/transparencia/irregularidades
ARG,Argentina,Yes,Ministry of Justice,https://www.argentina.gob.ar/uif/instructivos/rosrft
ARG,Argentina,Yes,Argentina Government,https://www.argentina.gob.ar/servicio/denunciar-incumplimientos-de-la-ley-de-proteccion-de-datos-personales
ARM,Armenia,Yes,Anti-Corruption Commission,https://www.anticorruption.am/en/service/azdararir-1
ARM,Armenia,Yes,Azdararir,https://new.cesa.am/en/service/azdararir-report-corruption
ARM,Armenia,Yes,Police,https://e-request.am/en
ARM,Armenia,Yes,State Revenue Committee,https://www.src.am/en/contactPage/21
ARM,Armenia,Yes,Head of Anti-Corruption Policy,https://www.moj.am/en/structures/view/structure/4#contact-us
AUS,Australia,Yes,Corruption and Crime Commission,https://www.ccc.wa.gov.au/report_misconduct
AUS,Australia,Yes,National Anti-Corruption Commission,https://report.nacc.gov.au
AUS,Australia,Yes,Inspector of the National Anti-Corruption Commission,https://www.naccinspector.gov.au/make-complaint
AUS,Australia,Yes,Independent Commission Against Corruption New South Wales,https://www.icac.nsw.gov.au/reporting
AUS,Australia,Yes,Independent Commission Against Corruption South Australia,https://www.icac.sa.gov.au/report-it
AUS,Australia,Yes,Independent Broad-based Anti-corruption Commission,https://www.ibac.vic.gov.au/report
AUS,Australia,Yes,Crime and Corruption Commission Queensland,https://www.ccc.qld.gov.au/corruption/report-corruption
AUS,Australia,Yes,Tasmania Integrity Commission,https://www.integrity.tas.gov.au/reporting
AUS,Australia,Yes,International Commission Against Corruption Nothern Territory,https://icac.nt.gov.au/report
AUS,Australia,Yes,ACT Integrity Commission,https://www.integrity.act.gov.au/reporting
AUT,Austria,Yes,Ombudsman,https://volksanwaltschaft.gv.at/en/for-problems-with-authorities/complaint-submission/
AUT,Austria,Yes,Austrian Financial Market Authority,https://www.bkms-system.net/bkwebanon/report/clientInfo?cin=11FMA61&c=-1&language=eng
AUT,Austria,Yes,Federal Ministry of Interior Austria,https://www.bak.gv.at/EN/501/start.aspx
