ISO3_Code,Country,Name of survey,Year,Link
ALB,Albania,Corruption Assessment Report Albania,2016,https://seldi.net/fileadmin/public/PDF/Publications/CAR_Albania_2016/Raporti_i_Vleresimit_te_Korrupsionit_2016.pdf
ALB,Albania,"Business, Corruption and Crime in Albania: The impact of bribery and other crime on private enterprise",2013,https://globalinitiative.net/wp-content/uploads/2017/12/UNODC-Business-corruption-and-Crime-in-Albania-2013-March-2014.pdf
ALB,Albania,Overview of Corruption and anti-Corruption,2011,https://www.u4.no/publications/albania-overview-of-corruption-and-anti-corruption.pdf
ALB,Albania,Corruption in Albania,2010,https://etico.iiep.unesco.org/sites/default/files/2017-09/PNADW315.pdf
ALB,Albania,Corruption in Albania,2009,https://www.ssrresourcecentre.org/cs2009/Corruption%20in%20Albania%202009%20-%20Summary%20of%20Findings.pdf
ALB,Albania,Sida Albania Anti-Corruption Study,2007,https://www.aidharmonisation.org.al/skedaret/1203101753-SIDA%20Albania%20Anti-Corruption%20Study%20-%20Revised.pdf
ARG,Argentina,GLOBAL CORRUPTION BAROMETER LATIN AMERICA & THE CARIBBEAN 2019: Citizen's Views and Experiences of Corruption,2019,https://files.transparencycdn.org/images/2019_GCB_LatinAmerica_Caribbean_Full_Report_200409_091428.pdf
ARG,Argentina,OECD Integrity review of Argentina,2019,https://www.oecd.org/content/dam/oecd/en/publications/reports/2019/03/oecd-integrity-review-of-argentina_g1g98ec3/g2g98ec3-en.pdf
ARG,Argentina,Consequences of Corruption at the Sector Level and Implications for Economic Growth and Development,2015,https://www.oecd.org/content/dam/oecd/en/publications/reports/2015/03/consequences-of-corruption-at-the-sector-level-and-implications-for-economic-growth-and-development_g1g51392/9789264230781-en.pdf
ARG,Argentina,Implementing the OECD Anti-Bribery Convention Phase 2,2010,https://www.oecd.org/content/dam/oecd/en/publications/reports/2010/09/implementing-the-oecd-anti-bribery-convention-phase-2-follow-up-report-argentina_2737f25f/78955d08-en.pdf
ARG,Argentina ,Latin America Anti corruption Assessment,2021-2022,https://www.vancecenter.org/wp-content/uploads/2022/03/Latin-America-Anti-corruption-Assessment-2021-2022.pdf
ARG,Argentina ,PEOPLE AND CORRUPTION: LATIN AMERICA AND THE CARIBBEAN,2017,https://files.transparencycdn.org/images/2017_GCB_AME_EN.pdf
ARM,Armenia,Corruption Survey of Households,2010,https://www.crrc.am/wp-content/uploads/2019/04/2010_Corruption_Household_Survey_Report_English.pdf
ARM,Armenia,Corruption Survey of Households and Enterprises,2009,https://crrc.am/wp-content/uploads/2019/04/2009-Armenia-Corruption-Survey-of-Households-and-Enterprises_Report_English.pdf
ARM,Armenia,Corruption Survey of Households,2008,https://www.crrc.am/wp-content/uploads/2019/04/2008_Corruption-Household-Survey-Report_English.pdf
AUS,Australia,Polling – Perceptions of corruption ,2023,https://australiainstitute.org.au/wp-content/uploads/2023/10/Polling-brief-Corruption-WEB.pdf
AUS,Australia,ICAC Public Integrity Survey,2021,https://www.icac.sa.gov.au/documents/publicintegritysurvey2021
AUS,Australia,ICAC Public Integrity Survey,2018,https://www.icac.sa.gov.au/__data/assets/pdf_file/0007/387808/ICAC_Public_Integrity_Survey_2018.pdf
AUT,Austria,Citizens' attitudes towards corruption,2025,https://www.kverulant.org/wp-content/uploads/2025/09/Citizens-attitudes-towards-corruption-in-the-EU-in-2025_SP561_report_en.pdf
AUT,Austria,Businesses’ Attitudes towards Corruption,2025,https://europa.eu/eurobarometer/api/deliverable/download/file?deliverableId=99716
AUT,Austria,Citizens' attitudes towards corruption,2024,https://europa.eu/eurobarometer/api/deliverable/download/file?deliverableId=91794
AUT,Austria,Businesses’ Attitudes towards Corruption,2024,https://europa.eu/eurobarometer/api/deliverable/download/file?deliverableId=91217
AUT,Austria,Citizens' attitudes towards corruption,2023,https://www.politico.eu/wp-content/uploads/2023/07/12/Citizens_attitudes_corruption_in_EU_2023_sp534_summary_en-2.pdf
