Country_code_ISO_3,Year,Product_market,Indicator,Contract_value,Indicator_availability
ALB,2021,Constr. work,corr_singleb,ALL,0.761631246
ALB,2021,Constr. work,corr_singleb,HIGH,1
ALB,2021,Constr. work,corr_singleb,HIGH + MEDIUM,0.98
ALB,2021,Constr. work,corr_nocft,ALL,0.761631246
ALB,2021,Constr. work,corr_nocft,HIGH,1
ALB,2021,Constr. work,corr_nocft,HIGH + MEDIUM,0.98
ALB,2021,Constr. work,corr_nonopenproc,ALL,1
ALB,2021,Constr. work,corr_nonopenproc,HIGH,1
ALB,2021,Constr. work,corr_nonopenproc,HIGH + MEDIUM,1
ALB,2021,Constr. work,corr_contractmod,ALL,0
ALB,2021,Constr. work,corr_contractmod,HIGH,0
ALB,2021,Constr. work,corr_contractmod,HIGH + MEDIUM,0
ALB,2021,Constr. work,corr_tax_haven,ALL,0
ALB,2021,Constr. work,corr_tax_haven,HIGH,0
ALB,2021,Constr. work,corr_tax_haven,HIGH + MEDIUM,0
ALB,2021,Medical equip.,corr_singleb,ALL,0.618578101
ALB,2021,Medical equip.,corr_singleb,HIGH,
ALB,2021,Medical equip.,corr_singleb,HIGH + MEDIUM,0.8
ALB,2021,Medical equip.,corr_nocft,ALL,0.618578101
ALB,2021,Medical equip.,corr_nocft,HIGH,
ALB,2021,Medical equip.,corr_nocft,HIGH + MEDIUM,0.8
ALB,2021,Medical equip.,corr_nonopenproc,ALL,1
ALB,2021,Medical equip.,corr_nonopenproc,HIGH,
ALB,2021,Medical equip.,corr_nonopenproc,HIGH + MEDIUM,1
ALB,2021,Medical equip.,corr_contractmod,ALL,0
ALB,2021,Medical equip.,corr_contractmod,HIGH,
ALB,2021,Medical equip.,corr_contractmod,HIGH + MEDIUM,0
ALB,2021,Medical equip.,corr_tax_haven,ALL,0
ALB,2021,Medical equip.,corr_tax_haven,HIGH,
ALB,2021,Medical equip.,corr_tax_haven,HIGH + MEDIUM,0
ALB,2021,Energy,corr_singleb,ALL,0.712598425
ALB,2021,Energy,corr_singleb,HIGH,
ALB,2021,Energy,corr_singleb,HIGH + MEDIUM,1
ALB,2021,Energy,corr_nocft,ALL,0.712598425
ALB,2021,Energy,corr_nocft,HIGH,
ALB,2021,Energy,corr_nocft,HIGH + MEDIUM,1
ALB,2021,Energy,corr_nonopenproc,ALL,1
ALB,2021,Energy,corr_nonopenproc,HIGH,
ALB,2021,Energy,corr_nonopenproc,HIGH + MEDIUM,1
ALB,2021,Energy,corr_contractmod,ALL,0
ALB,2021,Energy,corr_contractmod,HIGH,
ALB,2021,Energy,corr_contractmod,HIGH + MEDIUM,0
ALB,2021,Energy,corr_tax_haven,ALL,0
ALB,2021,Energy,corr_tax_haven,HIGH,
ALB,2021,Energy,corr_tax_haven,HIGH + MEDIUM,0
ALB,2021,Constr. materials,corr_singleb,ALL,0.749045802
ALB,2021,Constr. materials,corr_singleb,HIGH,
ALB,2021,Constr. materials,corr_singleb,HIGH + MEDIUM,1
ALB,2021,Constr. materials,corr_nocft,ALL,0.749045802
ALB,2021,Constr. materials,corr_nocft,HIGH,
ALB,2021,Constr. materials,corr_nocft,HIGH + MEDIUM,1
ALB,2021,Constr. materials,corr_nonopenproc,ALL,1
ALB,2021,Constr. materials,corr_nonopenproc,HIGH,
ALB,2021,Constr. materials,corr_nonopenproc,HIGH + MEDIUM,1
ALB,2021,Constr. materials,corr_contractmod,ALL,0
ALB,2021,Constr. materials,corr_contractmod,HIGH,
ALB,2021,Constr. materials,corr_contractmod,HIGH + MEDIUM,0
ALB,2021,Constr. materials,corr_tax_haven,ALL,0
ALB,2021,Constr. materials,corr_tax_haven,HIGH,
ALB,2021,Constr. materials,corr_tax_haven,HIGH + MEDIUM,0
ALB,2021,Office supplies,corr_singleb,ALL,0.79283054
ALB,2021,Office supplies,corr_singleb,HIGH,
ALB,2021,Office supplies,corr_singleb,HIGH + MEDIUM,1
ALB,2021,Office supplies,corr_nocft,ALL,0.79283054
ALB,2021,Office supplies,corr_nocft,HIGH,
ALB,2021,Office supplies,corr_nocft,HIGH + MEDIUM,1
ALB,2021,Office supplies,corr_nonopenproc,ALL,1
ALB,2021,Office supplies,corr_nonopenproc,HIGH,
ALB,2021,Office supplies,corr_nonopenproc,HIGH + MEDIUM,1
ALB,2021,Office supplies,corr_contractmod,ALL,0
ALB,2021,Office supplies,corr_contractmod,HIGH,
ALB,2021,Office supplies,corr_contractmod,HIGH + MEDIUM,0
ALB,2021,Office supplies,corr_tax_haven,ALL,0
ALB,2021,Office supplies,corr_tax_haven,HIGH,
ALB,2021,Office supplies,corr_tax_haven,HIGH + MEDIUM,0
ALB,2021,Business srv.,corr_singleb,ALL,0.761636107
ALB,2021,Business srv.,corr_singleb,HIGH,
ALB,2021,Business srv.,corr_singleb,HIGH + MEDIUM,0.666666667
ALB,2021,Business srv.,corr_nocft,ALL,0.761636107
ALB,2021,Business srv.,corr_nocft,HIGH,
ALB,2021,Business srv.,corr_nocft,HIGH + MEDIUM,0.666666667
ALB,2021,Business srv.,corr_nonopenproc,ALL,1
ALB,2021,Business srv.,corr_nonopenproc,HIGH,
ALB,2021,Business srv.,corr_nonopenproc,HIGH + MEDIUM,1
ALB,2021,Business srv.,corr_contractmod,ALL,0
ALB,2021,Business srv.,corr_contractmod,HIGH,
ALB,2021,Business srv.,corr_contractmod,HIGH + MEDIUM,0
ALB,2021,Business srv.,corr_tax_haven,ALL,0
ALB,2021,Business srv.,corr_tax_haven,HIGH,
ALB,2021,Business srv.,corr_tax_haven,HIGH + MEDIUM,0
ALB,2021,Electrical eq.,corr_singleb,ALL,0.741176471
ALB,2021,Electrical eq.,corr_singleb,HIGH,
ALB,2021,Electrical eq.,corr_singleb,HIGH + MEDIUM,1
ALB,2021,Electrical eq.,corr_nocft,ALL,0.741176471
ALB,2021,Electrical eq.,corr_nocft,HIGH,
ALB,2021,Electrical eq.,corr_nocft,HIGH + MEDIUM,1
ALB,2021,Electrical eq.,corr_nonopenproc,ALL,1
ALB,2021,Electrical eq.,corr_nonopenproc,HIGH,
ALB,2021,Electrical eq.,corr_nonopenproc,HIGH + MEDIUM,1
ALB,2021,Electrical eq.,corr_contractmod,ALL,0
ALB,2021,Electrical eq.,corr_contractmod,HIGH,
ALB,2021,Electrical eq.,corr_contractmod,HIGH + MEDIUM,0
ALB,2021,Electrical eq.,corr_tax_haven,ALL,0
ALB,2021,Electrical eq.,corr_tax_haven,HIGH,
ALB,2021,Electrical eq.,corr_tax_haven,HIGH + MEDIUM,0
ALB,2021,Transport eq.,corr_singleb,ALL,0.757069409
ALB,2021,Transport eq.,corr_singleb,HIGH,1
ALB,2021,Transport eq.,corr_singleb,HIGH + MEDIUM,1
ALB,2021,Transport eq.,corr_nocft,ALL,0.757069409
ALB,2021,Transport eq.,corr_nocft,HIGH,1
ALB,2021,Transport eq.,corr_nocft,HIGH + MEDIUM,1
ALB,2021,Transport eq.,corr_nonopenproc,ALL,0.666452442
ALB,2021,Transport eq.,corr_nonopenproc,HIGH,1
ALB,2021,Transport eq.,corr_nonopenproc,HIGH + MEDIUM,1
ALB,2021,Transport eq.,corr_contractmod,ALL,0
ALB,2021,Transport eq.,corr_contractmod,HIGH,0
ALB,2021,Transport eq.,corr_contractmod,HIGH + MEDIUM,0
ALB,2021,Transport eq.,corr_tax_haven,ALL,0
ALB,2021,Transport eq.,corr_tax_haven,HIGH,0
ALB,2021,Transport eq.,corr_tax_haven,HIGH + MEDIUM,0
ALB,2021,Security eq.,corr_singleb,ALL,0.725409836
ALB,2021,Security eq.,corr_singleb,HIGH,
ALB,2021,Security eq.,corr_singleb,HIGH + MEDIUM,1
ALB,2021,Security eq.,corr_nocft,ALL,0.725409836
ALB,2021,Security eq.,corr_nocft,HIGH,
ALB,2021,Security eq.,corr_nocft,HIGH + MEDIUM,1
ALB,2021,Security eq.,corr_nonopenproc,ALL,1
ALB,2021,Security eq.,corr_nonopenproc,HIGH,
ALB,2021,Security eq.,corr_nonopenproc,HIGH + MEDIUM,1
