ISO3_Code,Country,Year,"Classification (Black list, Grey list)"
BGR,Bulgaria,2025,Grey list
BGR,Bulgaria,2024,Grey list
BGR,Bulgaria,2023,Grey list
BGR,Bulgaria,2022,Grey list
BGR,Bulgaria,2008,Grey list
KEN,Kenya,2025,Grey list
KEN,Kenya,2024,Grey list
KEN,Kenya,2023,Grey list
KEN,Kenya,2014,Grey list
KEN,Kenya,2013,Grey list
KEN,Kenya,2012,Grey list
KEN,Kenya,2011,Grey list
KEN,Kenya,2010,Grey list
KOR,Republic of Korea,2025,Black list
KOR,Republic of Korea,2024,Black list
KOR,Republic of Korea,2023,Black list
KOR,Republic of Korea,2022,Black list
KOR,Republic of Korea,2021,Black list
KOR,Republic of Korea,2020,Black list
KOR,Republic of Korea,2019,Black list
KOR,Republic of Korea,2018,Black list
KOR,Republic of Korea,2017,Black list
KOR,Republic of Korea,2016,Black list
KOR,Republic of Korea,2015,Black list
KOR,Republic of Korea,2014,Black list
KOR,Republic of Korea,2013,Black list
KOR,Republic of Korea,2012,Black list
KOR,Republic of Korea,2011,Black list
KOR,Republic of Korea,2010,Black list
KOR,Republic of Korea,2009,Black list
KOR,Republic of Korea,2008,Black list
GBR,United Kingdom,2025,Grey list
GBR,United Kingdom,2024,Grey list
GBR,United Kingdom,2011,Grey list
GBR,United Kingdom,2008,Grey list
VEN,Venezuela,2025,Grey list
VEN,Venezuela,2024,Grey list
VEN,Venezuela,2023,Grey list
VEN,Venezuela,2013,Grey list
VEN,Venezuela,2012,Grey list
VEN,Venezuela,2011,Grey list
VEN,Venezuela,2010,Grey list
VEN,Venezuela,2009,Grey list
