ISO3_code,Name of Indicator,Year,IndicatorType,Sub indicator,Ranking,Score,Sub-componentValue,Organization
ALB,Chandler Good Government Index,2021,Ranking,,302/600,,,Chandler Institute of Governance
ALB,Chandler Good Government Index,2022,Ranking,,282/600,,,Chandler Institute of Governance
ALB,Chandler Good Government Index,2023,Ranking,,307/600,,,Chandler Institute of Governance
ALB,Chandler Good Government Index,2024,Ranking,,307/600,,,Chandler Institute of Governance
ALB,Chandler Good Government Index,2025,Ranking,,302/600,,,Chandler Institute of Governance
ALB,Corruption Perception Index (CPI),2016,Ranking,,83/176,,,Transparency International
ALB,Corruption Perception Index (CPI),2017,Ranking,,91/180,,,Transparency International
ALB,Corruption Perception Index (CPI),2018,Ranking,,99/180,,,Transparency International
ALB,Corruption Perception Index (CPI),2019,Ranking,,106/180,,,Transparency International
ALB,Corruption Perception Index (CPI),2020,Ranking,,104/179,,,Transparency International
ALB,Corruption Perception Index (CPI),2022,Ranking,,101/180,,,Transparency International
ALB,Corruption Perception Index (CPI),2023,Ranking,,98/180,,,Transparency International
ALB,Corruption Perception Index (CPI),2024,Ranking,,80/180,,,Transparency International
ALB,World Governance Indicator,1996,Sub_components,Control of Corruption,,,-0.893903494,World Bank
ALB,World Governance Indicator,1996,Sub_components,Government Effectiveness,,,-0.688587904,World Bank
ALB,World Governance Indicator,1996,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.336625129,World Bank
ALB,World Governance Indicator,1996,Sub_components,Regulatory Quality,,,-0.474401653,World Bank
ALB,World Governance Indicator,1996,Sub_components,Rule of Law,,,-0.6844818,World Bank
ALB,World Governance Indicator,1996,Sub_components,Voice and Accountability,,,-0.648297846,World Bank
ALB,World Governance Indicator,1998,Sub_components,Control of Corruption,,,-0.992024779,World Bank
ALB,World Governance Indicator,1998,Sub_components,Government Effectiveness,,,-0.732602537,World Bank
ALB,World Governance Indicator,1998,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.544004202,World Bank
ALB,World Governance Indicator,1998,Sub_components,Regulatory Quality,,,-0.441555828,World Bank
ALB,World Governance Indicator,1998,Sub_components,Rule of Law,,,-0.929671705,World Bank
ALB,World Governance Indicator,1998,Sub_components,Voice and Accountability,,,-0.387372851,World Bank
ALB,World Governance Indicator,2000,Sub_components,Control of Corruption,,,-0.855563641,World Bank
ALB,World Governance Indicator,2000,Sub_components,Government Effectiveness,,,-0.917780161,World Bank
ALB,World Governance Indicator,2000,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.539989591,World Bank
ALB,World Governance Indicator,2000,Sub_components,Regulatory Quality,,,-0.415910125,World Bank
ALB,World Governance Indicator,2000,Sub_components,Rule of Law,,,-1.020667672,World Bank
ALB,World Governance Indicator,2000,Sub_components,Voice and Accountability,,,-0.285138667,World Bank
ALB,World Governance Indicator,2002,Sub_components,Control of Corruption,,,-0.845340908,World Bank
ALB,World Governance Indicator,2002,Sub_components,Government Effectiveness,,,-0.624333382,World Bank
ALB,World Governance Indicator,2002,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.297719181,World Bank
ALB,World Governance Indicator,2002,Sub_components,Regulatory Quality,,,-0.311400771,World Bank
ALB,World Governance Indicator,2002,Sub_components,Rule of Law,,,-0.762321413,World Bank
ALB,World Governance Indicator,2002,Sub_components,Voice and Accountability,,,-0.00815021,World Bank
ALB,World Governance Indicator,2003,Sub_components,Control of Corruption,,,-0.853786588,World Bank
ALB,World Governance Indicator,2003,Sub_components,Government Effectiveness,,,-0.563986719,World Bank
ALB,World Governance Indicator,2003,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.30978024,World Bank
ALB,World Governance Indicator,2003,Sub_components,Regulatory Quality,,,-0.490216553,World Bank
ALB,World Governance Indicator,2003,Sub_components,Rule of Law,,,-0.716323495,World Bank
ALB,World Governance Indicator,2003,Sub_components,Voice and Accountability,,,0.070307687,World Bank
ALB,World Governance Indicator,2004,Sub_components,Control of Corruption,,,-0.723731816,World Bank
ALB,World Governance Indicator,2004,Sub_components,Government Effectiveness,,,-0.408371657,World Bank
ALB,World Governance Indicator,2004,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.427259684,World Bank
ALB,World Governance Indicator,2004,Sub_components,Regulatory Quality,,,-0.187491566,World Bank
ALB,World Governance Indicator,2004,Sub_components,Rule of Law,,,-0.701032341,World Bank
ALB,World Governance Indicator,2004,Sub_components,Voice and Accountability,,,0.007237499,World Bank
ALB,World Governance Indicator,2005,Sub_components,Control of Corruption,,,-0.813263893,World Bank
ALB,World Governance Indicator,2005,Sub_components,Government Effectiveness,,,-0.696387231,World Bank
ALB,World Governance Indicator,2005,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.505047977,World Bank
ALB,World Governance Indicator,2005,Sub_components,Regulatory Quality,,,-0.400731236,World Bank
ALB,World Governance Indicator,2005,Sub_components,Rule of Law,,,-0.763833165,World Bank
ALB,World Governance Indicator,2005,Sub_components,Voice and Accountability,,,0.003671788,World Bank
